T,bp,bs,ap,as
1649321634695,43496.79,1.29409,43496.8,5.52697
1649321634695,43496.75,0.4,43498.0,0.11899
1649321634695,43496.31,0.008,43498.2,1.02479
1649321634695,43496.11,0.00045,43498.24,0.32
1649321634695,43495.62,0.04552,43498.56,0.75453
1649321634695,43495.58,0.04552,43498.57,1.5
1649321634695,43493.93,0.29648,43499.05,0.31039
1649321634695,43493.92,0.75,43499.07,0.03597
1649321634695,43493.82,0.1232,43499.55,0.32
1649321634695,43492.94,0.02288,43499.59,0.24
1649321634695,43492.6,0.00544,43499.69,0.05678
1649321634695,43492.3,0.34481,43499.94,0.2279
1649321634695,43492.05,0.08894,43499.95,0.49876
1649321634695,43490.37,0.11602,43500.0,0.29765
1649321634695,43490.02,0.04342,43500.01,0.01092
1649321634695,43490.01,0.48084,43500.66,0.00537
1649321634695,43490.0,0.2279,43500.8,0.0008
1649321634695,43489.99,0.36301,43500.82,0.00563
1649321634695,43488.76,0.11495,43501.0,0.00549
1649321634695,43488.43,1.24676,43501.06,0.11495
1649321636700,43496.75,9.99887,43496.76,2.75763
1649321636700,43496.31,0.008,43496.8,0.30357
1649321636700,43496.19,0.00309,43497.3,0.12466
1649321636700,43496.11,0.00045,43497.75,0.00432
1649321636700,43495.62,0.04552,43498.14,0.2
1649321636700,43495.58,0.04552,43498.55,0.02
1649321636700,43495.49,0.00421,43499.45,0.08
1649321636700,43493.93,0.29648,43499.55,0.27495
1649321636700,43493.92,0.75,43499.8,0.1
1649321636700,43493.82,0.1232,43499.95,0.06707
1649321636700,43492.6,0.00544,43500.0,0.29833
1649321636700,43492.3,0.45976,43500.01,0.01092
1649321636700,43492.05,0.08894,43500.24,0.75
1649321636700,43490.37,0.00108,43500.8,0.0008
1649321636700,43490.02,0.04342,43500.82,0.00563
1649321636700,43490.01,0.48084,43501.0,0.00549
1649321636700,43490.0,0.2279,43501.06,0.11495
1649321636700,43489.99,0.36301,43501.1,0.82486
1649321636700,43488.99,0.32267,43501.11,0.59044
1649321636700,43488.77,0.01858,43501.48,0.23015
1649321638697,43496.75,9.33767,43496.76,2.55331
1649321638697,43496.31,0.008,43496.8,0.19263
1649321638697,43496.19,0.00309,43497.24,0.08
1649321638697,43496.13,0.12414,43497.75,0.00432
1649321638697,43496.11,0.00045,43498.55,0.16
1649321638697,43495.88,0.1583,43498.9,0.09
1649321638697,43495.62,0.04552,43499.95,0.06752
1649321638697,43495.58,0.04552,43500.0,0.29833
1649321638697,43495.49,0.00421,43500.01,0.01092
1649321638697,43493.93,0.29648,43500.24,0.86495
1649321638697,43493.92,0.75,43500.8,0.0008
1649321638697,43493.82,0.1232,43500.85,0.16
1649321638697,43493.37,0.31037,43501.0,0.00549
1649321638697,43492.59,0.22989,43501.1,0.82486
1649321638697,43492.3,0.34481,43501.11,0.59044
1649321638697,43492.05,0.08894,43501.48,0.23015
1649321638697,43490.37,0.00108,43501.66,1.16714
1649321638697,43490.02,0.04342,43502.59,0.00345
1649321638697,43490.01,0.48084,43503.4,0.31036
1649321638697,43490.0,0.2279,43503.45,0.00202
1649321640698,43496.75,3.96788,43496.76,5.38837
1649321640698,43496.31,0.008,43496.8,0.19914
1649321640698,43496.19,0.00309,43497.22,0.12466
1649321640698,43496.16,0.12414,43497.24,0.08
1649321640698,43496.11,0.00045,43497.75,0.11927
1649321640698,43495.62,0.04552,43498.55,0.32
1649321640698,43495.58,0.04552,43498.9,0.09
1649321640698,43495.49,0.00421,43499.26,1.5
1649321640698,43494.65,0.75,43499.81,0.31038
1649321640698,43493.82,0.1232,43499.95,0.06752
1649321640698,43492.59,0.11494,43500.0,0.29833
1649321640698,43492.3,0.34481,43500.01,0.01092
1649321640698,43492.05,0.04552,43500.24,0.75
1649321640698,43490.37,0.11603,43500.8,0.0008
1649321640698,43490.05,0.04446,43501.0,0.00549
1649321640698,43490.01,0.48084,43501.1,0.82486
1649321640698,43490.0,0.2279,43501.11,0.00844
1649321640698,43489.99,0.36301,43501.48,0.23015
1649321640698,43488.99,0.32267,43501.66,1.16714
1649321640698,43488.77,0.01858,43502.59,0.00345
1649321641697,43496.75,0.8081,43496.76,7.34294
1649321641697,43496.31,0.008,43496.8,0.19914
1649321641697,43496.19,0.00309,43497.22,0.12466
1649321641697,43496.17,0.06599,43497.24,0.08
1649321641697,43496.11,0.00045,43497.54,0.00423
1649321641697,43495.62,0.04552,43498.55,0.43495
1649321641697,43495.58,0.04552,43498.9,0.09
1649321641697,43495.49,0.00421,43499.26,1.5
1649321641697,43493.83,0.26203,43499.81,0.31038
1649321641697,43493.82,0.1232,43499.95,0.0682
1649321641697,43493.42,0.75,43500.0,0.29833
1649321641697,43492.59,0.11494,43500.01,0.01092
1649321641697,43492.3,0.34481,43500.24,0.75
1649321641697,43492.05,0.04552,43500.8,0.0008
1649321641697,43490.37,0.11603,43501.0,0.00549
1649321641697,43490.01,0.48084,43501.1,0.82486
1649321641697,43490.0,0.2279,43501.11,0.00844
1649321641697,43489.99,0.36301,43501.48,0.23015
1649321641697,43488.99,0.32267,43501.66,1.16714
1649321641697,43488.77,0.01858,43502.59,0.00345
1649321643702,43496.75,1.56818,43496.76,8.26147
1649321643702,43496.31,0.008,43496.8,0.19914
1649321643702,43496.19,0.00309,43497.22,0.12466
1649321643702,43496.17,0.06599,43497.24,0.08
1649321643702,43496.11,0.00045,43497.54,0.00423
1649321643702,43495.62,0.04552,43498.55,0.43495
1649321643702,43495.58,0.04552,43498.9,0.09
1649321643702,43495.49,0.00421,43499.13,0.00264
1649321643702,43493.82,0.1232,43499.26,1.5
1649321643702,43492.3,0.34481,43499.81,0.31038
1649321643702,43492.11,0.75,43499.95,0.0682
1649321643702,43492.05,0.04552,43500.0,1.39501
1649321643702,43490.37,0.11603,43500.01,0.01092
1649321643702,43490.01,0.48084,43500.24,0.75
1649321643702,43490.0,0.2279,43500.8,0.0008
1649321643702,43489.99,0.36301,43500.98,0.11496
1649321643702,43488.99,0.32267,43501.0,0.00549
1649321643702,43488.83,0.11496,43501.1,0.82486
1649321643702,43488.77,0.01858,43501.11,0.00844
1649321643702,43488.44,0.025,43501.48,0.23015
1649321645706,43496.75,10.41924,43496.76,1.12077
1649321645706,43496.31,0.008,43496.8,0.19051
1649321645706,43496.19,0.00309,43497.54,0.00423
1649321645706,43496.17,0.06599,43498.85,0.01
1649321645706,43496.11,0.00045,43499.13,0.00264
1649321645706,43495.97,0.12414,43499.26,1.5
1649321645706,43495.88,0.22515,43499.4,0.02
1649321645706,43495.62,0.04552,43499.5,0.04
1649321645706,43495.58,0.04552,43499.95,0.0682
1649321645706,43495.56,0.75,43500.0,1.39501
1649321645706,43495.49,0.00421,43500.01,0.01092
1649321645706,43493.82,0.23814,43500.24,0.75
1649321645706,43493.53,0.31037,43500.8,0.11575
1649321645706,43492.3,0.45976,43501.0,0.00549
1649321645706,43492.05,0.04552,43501.1,0.82486
1649321645706,43490.37,0.00108,43501.11,0.00844
1649321645706,43490.01,0.48084,43501.48,0.23015
1649321645706,43490.0,0.2279,43501.66,1.16714
1649321645706,43489.99,0.36301,43501.71,0.08
1649321645706,43488.99,0.32267,43502.11,0.16
1649321647699,43496.75,14.05341,43496.76,0.4357
1649321647699,43496.31,0.008,43496.8,0.00651
1649321647699,43496.2,0.00418,43496.81,0.00863
1649321647699,43496.19,0.00309,43497.53,0.00193
1649321647699,43496.17,0.06599,43497.54,0.00423
1649321647699,43496.11,0.00045,43499.13,0.00264
1649321647699,43495.97,0.12414,43499.26,1.5
1649321647699,43495.88,0.22515,43499.8,0.00024
1649321647699,43495.75,0.31035,43499.95,0.01492
1649321647699,43495.62,0.04552,43500.0,1.39433
1649321647699,43495.58,0.04552,43500.01,0.01092
1649321647699,43495.56,0.75,43501.0,0.00459
1649321647699,43493.82,0.35309,43501.11,0.00844
1649321647699,43493.71,0.00024,43501.48,0.23015
1649321647699,43493.53,0.31037,43501.66,1.16714
1649321647699,43492.3,0.34481,43502.57,0.86495
1649321647699,43492.05,0.04552,43502.59,0.00345
1649321647699,43491.6,0.001,43503.45,0.00202
1649321647699,43490.37,0.00108,43504.29,0.01047
1649321647699,43490.23,0.00231,43504.35,0.01584
1649321649701,43496.75,13.88141,43496.76,0.72996
1649321649701,43496.68,0.05678,43496.8,0.00651
1649321649701,43496.31,0.008,43497.54,0.00423
1649321649701,43496.2,0.00418,43499.13,0.00264
1649321649701,43496.19,0.00309,43499.26,1.5
1649321649701,43496.17,0.06599,43499.8,0.00024
1649321649701,43496.11,0.00045,43499.95,0.00113
1649321649701,43495.97,0.12414,43500.0,1.39433
1649321649701,43495.88,0.22515,43500.01,0.01092
1649321649701,43495.75,0.31035,43501.0,0.11954
1649321649701,43495.62,0.04552,43501.11,0.00844
1649321649701,43495.58,0.04552,43501.48,0.23015
1649321649701,43495.56,0.75,43501.66,1.16714
1649321649701,43493.82,0.23814,43502.57,0.75
1649321649701,43493.71,0.00024,43502.59,0.00345
1649321649701,43493.53,0.31037,43503.45,0.00202
1649321649701,43493.02,0.45974,43504.29,0.01047
1649321649701,43492.3,0.34481,43504.35,0.01584
1649321649701,43492.05,0.04552,43504.38,0.06538
1649321649701,43490.79,0.68925,43505.0,0.25315
1649321650696,43496.75,13.88141,43496.76,0.77418
1649321650696,43496.68,0.05678,43496.8,0.00651
1649321650696,43496.2,0.00418,43497.54,0.00423
1649321650696,43496.19,0.00309,43499.13,0.00264
1649321650696,43496.17,0.06599,43499.26,1.5
1649321650696,43496.11,0.00045,43499.8,0.00024
1649321650696,43495.97,0.12414,43499.95,0.00113
1649321650696,43495.88,0.2251,43500.0,1.39433
1649321650696,43495.75,0.31035,43500.01,0.01092
1649321650696,43495.62,0.04552,43501.0,0.11954
1649321650696,43495.58,0.04552,43501.11,0.00844
1649321650696,43495.56,0.75,43501.48,0.23015
1649321650696,43493.82,0.35309,43501.66,1.16714
1649321650696,43493.71,0.00024,43502.57,0.75
1649321650696,43493.53,0.31037,43502.59,0.00345
1649321650696,43493.02,0.34479,43503.45,0.00202
1649321650696,43492.3,0.34481,43504.29,0.01047
1649321650696,43492.05,0.04552,43504.35,0.01584
1649321650696,43490.79,0.68925,43504.38,0.06538
1649321650696,43490.37,0.00108,43505.0,0.25315
1649321652703,43497.52,15.56363,43497.53,0.36415
1649321652703,43497.22,1.29,43497.54,0.00423
1649321652703,43497.2,1.25702,43499.13,0.00264
1649321652703,43497.12,1.06,43499.26,1.5
1649321652703,43497.01,0.11493,43499.8,0.00024
1649321652703,43496.79,1.8,43499.95,0.00113
1649321652703,43496.78,0.00419,43500.0,1.39433
1649321652703,43496.76,0.2279,43500.01,0.01092
1649321652703,43496.75,1.11697,43501.0,0.00459
1649321652703,43496.19,0.00309,43501.11,0.00844
1649321652703,43496.11,0.00045,43501.48,0.3451
1649321652703,43495.97,0.12414,43501.66,1.16714
1649321652703,43495.88,0.1258,43502.5,0.75
1649321652703,43495.86,0.09928,43502.59,0.00345
1649321652703,43495.75,0.31035,43503.45,0.00202
1649321652703,43495.62,0.04552,43504.29,0.01047
1649321652703,43495.58,0.04552,43504.35,0.01584
1649321652703,43494.16,0.34477,43505.0,0.25315
1649321652703,43493.82,0.23815,43506.18,0.01787
1649321652703,43493.71,0.00024,43506.32,0.06533
1649321654699,43497.52,19.41308,43497.53,0.34995
1649321654699,43497.22,1.29,43497.54,0.00423
1649321654699,43497.2,1.25702,43497.55,0.00863
1649321654699,43497.12,1.06,43499.13,0.00264
1649321654699,43497.09,0.05678,43499.26,1.5
1649321654699,43497.01,0.11493,43499.8,0.00024
1649321654699,43496.85,0.00414,43499.95,0.00113
1649321654699,43496.79,1.5,43500.0,1.39433
1649321654699,43496.76,0.2279,43500.01,0.01092
1649321654699,43496.75,1.11697,43501.0,0.00459
1649321654699,43496.19,0.00309,43501.11,0.00844
1649321654699,43496.11,0.00045,43501.48,0.23015
1649321654699,43495.97,0.12414,43501.66,1.16714
1649321654699,43495.88,0.1258,43502.59,0.00345
1649321654699,43495.86,0.09928,43503.45,0.11697
1649321654699,43495.75,0.31035,43504.29,0.01047
1649321654699,43495.62,0.04552,43504.35,0.01584
1649321654699,43495.58,0.04552,43505.0,0.25315
1649321654699,43494.16,0.34477,43506.18,0.01787
1649321654699,43493.82,0.1232,43506.32,0.06533
1649321656702,43499.25,9.9052,43499.26,2.28574
1649321656702,43499.12,4.06989,43499.39,0.0041
1649321656702,43498.14,0.00616,43499.8,0.00024
1649321656702,43498.02,0.31033,43499.95,0.00113
1649321656702,43498.0,0.75,43500.0,1.39433
1649321656702,43497.66,1.02479,43500.01,0.01092
1649321656702,43497.53,0.08894,43501.0,0.00459
1649321656702,43497.52,0.01417,43501.11,0.00844
1649321656702,43497.01,0.11493,43501.48,0.23015
1649321656702,43496.76,0.2279,43501.66,1.16714
1649321656702,43496.75,0.66697,43502.45,0.11794
1649321656702,43496.19,0.00309,43502.59,0.00345
1649321656702,43496.11,0.00045,43503.45,0.00202
1649321656702,43495.97,0.12414,43504.29,0.01047
1649321656702,43495.88,0.1258,43504.35,0.01584
1649321656702,43495.86,0.09928,43505.0,0.25315
1649321656702,43495.75,0.31035,43506.18,0.01787
1649321656702,43495.62,0.04552,43506.54,0.00108
1649321656702,43495.58,0.04552,43506.92,0.75
1649321656702,43494.16,0.45972,43507.45,0.02299
1649321658698,43499.25,17.99603,43499.26,0.10033
1649321658698,43499.12,3.76989,43499.39,0.0041
1649321658698,43498.77,0.15913,43499.8,0.00024
