T,o,h,l,c,v
1609574400000.0,29751.5,29849.1,29740.0,29756.2,627.0304
1609575300000.0,29756.2,29820.2,29694.4,29722.5,652.6674
1609576200000.0,29722.5,29781.0,29640.0,29781.0,537.5353393554688
1609577100000.0,29781.0,29849.0,29781.0,29844.5,540.8554077148438
1609578000000.0,29844.5,29862.0,29729.0,29734.099609375,609.1461181640625
1609578900000.0,29734.099609375,29821.599609375,29666.0,29700.30078125,527.7153930664062
1609579800000.0,29701.0,29774.2,29580.0,29758.5,542.57402
1609580700000.0,29758.5,29899.0,29578.0,29612.900390625,1509.0615234375
1609581600000.0,29612.9,29720.2,29473.9,29679.4,1211.9922
1609582500000.0,29679.400390625,29829.0,29675.900390625,29780.0,565.9423828125
1609583400000.0,29780.0,29799.900390625,29699.19921875,29727.69921875,274.7242431640625
1609584300000.0,29727.69921875,29763.30078125,29669.5,29681.0,262.52374267578125
1609585200000.0,29679.5,29780.5,29674.900390625,29731.099609375,272.72576904296875
1609586100000.0,29731.1,29735.4,29622.8,29669.7,337.71688
1609587000000.0,29669.7,29746.9,29640.9,29715.2,345.71345
1609587900000.0,29715.2,29771.4,29715.2,29755.0,408.88063999999997
1609588800000.0,29755.0,29888.0,29741.4,29880.2,1110.4981
1609589700000.0,29880.2,30433.0,29761.5,30289.7,5711.5859
1609590600000.0,30290.80078125,30701.69921875,30176.30078125,30695.099609375,2813.718505859375
1609591500000.0,30695.0,30888.0,30526.900390625,30604.0,3136.7626953125
1609592400000.0,30604.0,30830.0,30521.0,30757.6,1676.7728
1609593300000.0,30757.6,30900.0,30700.0,30849.7,1425.6194
1609594200000.0,30849.7,31420.0,30750.0,31278.5,3508.9728999999998
1609595100000.0,31278.5,31561.9,31003.0,31541.2,2571.0631
1609596000000.0,31546.1,31567.9,31308.4,31367.1,1825.8719
1609596900000.0,31367.1,31401.1,31065.0,31087.4,2163.3485
1609597800000.0,31091.19921875,31279.599609375,31086.80078125,31202.0,1326.0555419921875
1609598700000.0,31202.0,31335.7,31132.4,31290.5,1132.5089
1609599600000.0,31290.5,31400.0,31236.4,31265.0,885.0452
1609600500000.0,31265.0,31400.0,31257.7,31374.6,661.5278
1609601400000.0,31374.6,31772.0,31340.0,31640.7,2010.4826
1609602300000.0,31622.1,31800.0,31569.8,31691.3,2069.1373
1609603200000.0,31691.1,32298.0,31616.4,32029.1,3442.9457
1609604100000.0,32042.5,32420.0,31980.0,32313.2,2926.4958
1609605000000.0,32315.4,33000.0,32290.0,32584.0,4830.024
1609605900000.0,32600.1,32800.5,32030.0,32482.3,4232.814
1609606800000.0,32484.3,32691.8,32394.8,32600.0,1932.4105
1609607700000.0,32601.3,32750.0,32568.3,32606.0,1355.4043
1609608600000.0,32606.0,32715.0,32500.0,32670.099609375,1218.42431640625
1609609500000.0,32670.099609375,32935.0,32666.0,32857.0,1895.941162109375
1609610400000.0,32856.8984375,32909.8984375,32421.0,32605.599609375,2118.645263671875
1609611300000.0,32604.3,32750.3,32516.8,32741.4,952.6168
1609612200000.0,32741.400390625,32785.0,32616.5,32776.8984375,820.3820190429688
1609613100000.0,32776.8984375,33300.0,32713.80078125,33000.0,3278.650146484375
1609614000000.0,33000.0,33100.0,32690.0,32964.9,2208.1416
1609614900000.0,32963.5,33043.3,32864.3,33014.6,1115.6878
1609615800000.0,33014.6015625,33156.69921875,32980.19921875,33100.0,1144.814697265625
1609616700000.0,33100.0,33220.0,33001.3,33027.2,1376.2118
1609617600000.0,33027.2,33061.4,32300.0,32785.2,3862.4483
1609618500000.0,32785.2,32800.0,32100.0,32237.3,2980.6291
1609619400000.0,32234.2,32433.6,31708.0,32095.8,3536.9835
1609620300000.0,32095.80078125,32096.0,30550.0,30667.19921875,5353.22119140625
1609621200000.0,30669.400390625,31822.599609375,30300.0,31464.0,5999.2939453125
1609622100000.0,31468.7,32005.9,31425.4,31615.2,2181.1162
1609623000000.0,31615.2,31700.0,31376.9,31611.6,1243.1772
1609623900000.0,31612.5,31857.8,31544.6,31694.6,971.5315
1609624800000.0,31693.5,31693.5,31425.0,31657.6,711.3364
1609625700000.0,31654.0,32200.0,31653.5,32199.5,1206.5479
1609626600000.0,32199.5,32311.9,32050.0,32148.1,1241.7194
1609627500000.0,32148.0,32269.5,32065.8,32145.7,719.458
1609628400000.0,32143.5,32195.5,31500.0,31866.80078125,1585.2664794921875
1609629300000.0,31868.1,32039.3,31816.6,31965.9,1221.6781
1609630200000.0,31962.6,32026.8,31773.8,31913.0,1003.3222
1609631100000.0,31913.6,32246.7,31900.3,32178.3,812.0736
1609632000000.0,32176.5,32259.9,31963.0,32105.8,896.3297
1609632900000.0,32105.8,32200.0,31991.6,32200.0,562.2438
1609633800000.0,32200.0,32444.9,32200.0,32412.0,1244.5449
1609634700000.0,32412.0,32497.8,32368.0,32447.9,642.9439
1609635600000.0,32448.0,32480.0,32201.0,32408.7,896.0841
1609636500000.0,32408.69921875,32641.0,32390.19921875,32626.599609375,727.6846923828125
1609637400000.0,32626.599609375,32741.900390625,32503.900390625,32609.0,846.9644775390625
1609638300000.0,32609.0,32790.1015625,32520.0,32585.099609375,930.4190063476562
1609639200000.0,32583.0,32723.30078125,32550.0,32641.0,519.404296875
1609640100000.0,32641.0,32800.0,32591.0,32782.9,493.6708
1609641000000.0,32782.9,32884.1,32731.3,32822.3,499.1737
1609641900000.0,32822.30078125,32860.0,32701.0,32741.69921875,504.96099853515625
1609642800000.0,32741.69921875,32756.0,32587.0,32592.69921875,624.4857788085938
1609643700000.0,32594.69921875,32699.099609375,32592.19921875,32645.69921875,377.8540954589844
1609644600000.0,32645.7,32648.1,32404.0,32563.9,708.5249
1609645500000.0,32563.900390625,32734.0,32537.900390625,32573.900390625,415.01544189453125
1609646400000.0,32576.099609375,32711.400390625,32570.19921875,32630.099609375,486.7018127441406
1609647300000.0,32630.1,32640.5,32450.0,32579.8,482.5047
1609648200000.0,32579.80078125,32735.0,32575.0,32717.80078125,541.6212768554688
1609649100000.0,32717.8,33250.0,32707.5,33192.5,1925.2431000000001
1609650000000.0,33192.5,34083.7,33109.4,33815.8,4613.828
1609650900000.0,33815.8,34043.6,33633.8,33984.3,2148.2009
1609651800000.0,33978.30078125,34180.0,33752.8984375,33940.0,2123.6630859375
1609652700000.0,33940.0,34058.0,33629.30078125,33758.69921875,1469.3763427734375
1609653600000.0,33758.7,34110.1,33651.1,33800.0,1718.3418
1609654500000.0,33796.0,33984.19921875,33782.0,33855.5,881.3281860351562
1609655400000.0,33855.6,34080.0,33823.3,33991.8,966.3201
1609656300000.0,33991.80078125,34060.0,33825.30078125,33967.1015625,960.9221801757812
1609657200000.0,33967.1,34029.0,33737.2,34000.0,935.1855
1609658100000.0,34000.0,34566.7,33950.0,34487.6,2448.8026
1609659000000.0,34487.6,34725.0,34400.0,34641.1,1931.8218
1609659900000.0,34638.2,34778.1,34011.1,34452.3,2652.2689
1609660800000.0,34451.8,34561.1,33757.3,34104.8,2453.56
1609661700000.0,34091.19921875,34448.0,33932.80078125,34403.69921875,1481.8470458984375
1609662600000.0,34405.0,34670.3984375,34281.8984375,34631.3984375,1241.804443359375
1609663500000.0,34631.4,34631.6,34271.2,34367.7,969.5615
1609664400000.0,34367.30078125,34588.8984375,34070.3984375,34240.0,1812.5218505859375
1609665300000.0,34240.0,34315.69921875,33856.6015625,34026.69921875,1711.1075439453125
1609666200000.0,34031.2,34191.8,33800.0,34065.8,1572.5033
