T,o,h,l,c,v
1610013600000,37492.69921875,37500.0,36920.0,37045.3984375,3236.82275390625
1610017200000,37045.3984375,37913.69921875,37039.0,37822.1015625,4315.48974609375
1610020800000,37825.6,38200.0,37518.0,37941.4,6363.3598
1610024400000,37941.4,38429.0,37900.0,38161.6,5364.3458
1610028000000,38161.6,38644.8,38079.0,38454.0,5516.6322
1610031600000,38450.5,38970.4,38062.8,38970.4,5401.3638
1610035200000,38970.4,39500.0,38921.5,39120.0,8054.6128
1610038800000,39120.0,39775.0,39101.4,39732.9,4853.7306
1610042400000,39732.9,40365.0,36500.0,38948.5,16920.6685
1610046000000,38907.6,39236.1,37493.5,39062.0,9539.5415
1610049600000,39062.0,39199.3,38352.9,39109.4,4364.1331
1610053200000,39111.3,39882.1,38908.1,39687.1,4533.6157
1610056800000,39687.1,39969.0,39150.0,39665.9,2855.6284
1610060400000,39666.0,39680.5,38541.4,39432.3,5866.6658
1610064000000,39432.5,39699.9,38793.2,38793.2,3387.1753
1610067600000,38793.2,39000.0,37800.0,38681.4,5775.3905
1610071200000,38681.4,38692.8,36500.0,37181.7,9364.2448
1610074800000,37181.7,38460.1,37068.4,38347.1,5036.7472
1610078400000,38347.1015625,38950.0,38155.6015625,38668.8984375,5126.666015625
1610082000000,38668.9,38700.0,37895.0,37975.3,4384.1587
1610085600000,37980.5,38685.1,37563.9,38537.9,3989.7616
1610089200000,38539.0,39143.8,38280.2,38930.6,4177.4666
1610092800000,38929.6,38985.1,38414.7,38648.9,3277.738
1610096400000,38649.0,39374.19921875,38222.0,39358.30078125,3995.80419921875
1610100000000,39359.0,41057.8,39220.0,40721.4,10298.2203
1610103600000,40722.7,41500.4,40345.4,41286.7,9286.552599999999
1610107200000,41286.7,41785.9,40857.4,41316.9,7590.2773
1610110800000,41318.0,41641.8,40700.0,41311.2,5331.4532
1610114400000,41313.2,41564.7,40970.2,41454.1,3918.1809
1610118000000,41454.1,41950.0,39777.0,40829.1,12863.9529
1610121600000,40829.1,41600.0,40359.7,41303.4,6293.0587
1610125200000,41303.3984375,41556.19921875,40888.8984375,41009.1015625,3675.203369140625
1610128800000,41009.1,41153.0,39800.0,39920.4,6673.7472
1610132400000,39920.7,40700.0,39900.3,40365.1,3881.0711
1610136000000,40365.1,40500.0,38888.0,39059.2,9598.0709
1610139600000,39062.8984375,40116.3984375,38652.0,40075.80078125,6171.36572265625
1610143200000,40075.8,40785.0,39740.9,40674.4,3008.049
1610146800000,40672.0,40937.8,40465.8,40582.8,2685.6004000000003
1610150400000,40587.0,40976.1,39980.3,40283.6,4382.2559
1610154000000,40286.1015625,40321.8984375,39710.0,40198.6015625,4543.73486328125
1610157600000,40196.5,40562.0,39500.0,39973.0,3032.047
1610161200000,39973.0,40376.69921875,39709.6015625,40211.6015625,1917.786865234375
1610164800000,40209.8984375,40490.0,39805.0,40206.3984375,1976.4842529296875
1610168400000,40206.4,40206.4,39154.5,39295.4,3025.0409
1610172000000,39293.3984375,39627.1015625,38888.0,38984.8984375,4352.60595703125
1610175600000,38978.5,39692.0,38720.0,39638.6,3109.88973
1610179200000,39639.2,40254.4,39290.9,40172.1,3081.9922
1610182800000,40167.5,40790.0,40164.0,40348.3,3653.417
1610186400000,40348.3984375,40800.0,40105.5,40376.0,3130.355712890625
1610190000000,40376.0,41237.4,40256.7,40565.8,4682.9923
1610193600000,40565.8,40912.5,40410.0,40875.0,2732.2012
1610197200000,40875.0,41222.0,40679.1,41051.7,3818.6573
1610200800000,41051.69921875,41380.0,40700.0,40819.0,3867.781005859375
1610204400000,40819.0,40953.0,40200.0,40525.19921875,3364.4345703125
1610208000000,40525.2,40650.0,39869.0,39995.1,3942.0965
1610211600000,39995.1015625,40586.8984375,39985.3984375,40421.3984375,2205.653076171875
1610215200000,40421.4,40800.0,40417.4,40650.0,2109.1648
1610218800000,40650.0,40880.0,40469.4,40665.9,1864.1422499999999
1610222400000,40665.9,40781.7,40050.0,40606.2,3330.652
1610226000000,40610.30078125,40755.0,40483.19921875,40718.80078125,2433.809326171875
1610229600000,40718.8,40743.5,40120.0,40281.1,1973.25188
1610233200000,40283.7,40415.0,39928.9,40088.2,3255.5347
1610236800000,40088.2,40736.8,40087.2,40581.5,2697.1521
1610240400000,40581.5,41350.0,40450.1,41141.6,4299.1516
1610244000000,41141.6015625,41145.19921875,40814.0,40945.30078125,2353.8525390625
1610247600000,40942.8,40991.2,40250.0,40316.6,2477.2889
1610251200000,40320.7,40602.3,40050.0,40342.5,2786.9973
